Country,City,Lat,Long,Count,Test,CityRank,COC_Lat,COC_Long,TotalCount,CountryRank
BRAZIL,New York,40.6943,-73.9249,253,BRAZIL,1,-14.235004,-51.92528,2919,13
BRAZIL,Houston,29.7871,-95.3936,82,BRAZIL,3,-14.235004,-51.92528,2919,13
BRAZIL,San Francisco,37.7561,-122.4429,80,BRAZIL,4,-14.235004,-51.92528,2919,13
BRAZIL,Redmond,47.6776,-122.1176,78,BRAZIL,5,-14.235004,-51.92528,2919,13
BRAZIL,Mountain View,37.4001,-122.0796,54,BRAZIL,6,-14.235004,-51.92528,2919,13
BRAZIL,Menlo Park,37.4689,-122.1662,46,BRAZIL,7,-14.235004,-51.92528,2919,13
BRAZIL,Seattle,47.6217,-122.3238,43,BRAZIL,8,-14.235004,-51.92528,2919,13
BRAZIL,Orlando,28.4801,-81.3448,39,BRAZIL,9,-14.235004,-51.92528,2919,13
BRAZIL,Los Angeles,34.114,-118.4068,36,BRAZIL,10,-14.235004,-51.92528,2919,13
BRAZIL,San Diego,32.8312,-117.1225,29,BRAZIL,11,-14.235004,-51.92528,2919,13
BRAZIL,Chicago,41.8373,-87.6861,28,BRAZIL,12,-14.235004,-51.92528,2919,13
BRAZIL,Atlanta,33.7627,-84.4231,26,BRAZIL,14,-14.235004,-51.92528,2919,13
BRAZIL,Sunnyvale,37.3846,-122.0261,26,BRAZIL,15,-14.235004,-51.92528,2919,13
BRAZIL,Cupertino,37.3167,-122.0465,21,BRAZIL,17,-14.235004,-51.92528,2919,13
BRAZIL,Dallas,32.7938,-96.7659,21,BRAZIL,18,-14.235004,-51.92528,2919,13
BRAZIL,Irving,32.8584,-96.9702,21,BRAZIL,19,-14.235004,-51.92528,2919,13
BRAZIL,Tampa,27.9937,-82.4454,21,BRAZIL,20,-14.235004,-51.92528,2919,13
BRAZIL,Miami,25.784,-80.2102,108,BRAZIL,2,-14.235004,-51.92528,2919,13
BRAZIL,Plano,33.0502,-96.7487,27,BRAZIL,13,-14.235004,-51.92528,2919,13
BRAZIL,Pompano Beach,26.2428,-80.1312,23,BRAZIL,16,-14.235004,-51.92528,2919,13
