Country,City,Lat,Long,Count,Test,CityRank,COC_Lat,COC_Long,TotalCount,CountryRank
CHINA,Claxton,32.1613,-81.9093,217,CHINA,19,35.86166,104.195397,28860,2
CHINA,New York,40.6943,-73.9249,2131,CHINA,1,35.86166,104.195397,28860,2
CHINA,Mountain View,37.4001,-122.0796,1740,CHINA,2,35.86166,104.195397,28860,2
CHINA,Redmond,47.6776,-122.1176,1356,CHINA,3,35.86166,104.195397,28860,2
CHINA,San Jose,37.302,-121.8488,1009,CHINA,4,35.86166,104.195397,28860,2
CHINA,Santa Clara,37.3646,-121.9679,909,CHINA,5,35.86166,104.195397,28860,2
CHINA,San Francisco,37.7561,-122.4429,899,CHINA,6,35.86166,104.195397,28860,2
CHINA,Seattle,47.6217,-122.3238,726,CHINA,7,35.86166,104.195397,28860,2
CHINA,Sunnyvale,37.3846,-122.0261,706,CHINA,8,35.86166,104.195397,28860,2
CHINA,Houston,29.7871,-95.3936,664,CHINA,9,35.86166,104.195397,28860,2
CHINA,Menlo Park,37.4689,-122.1662,503,CHINA,10,35.86166,104.195397,28860,2
CHINA,Chicago,41.8373,-87.6861,486,CHINA,11,35.86166,104.195397,28860,2
CHINA,San Diego,32.8312,-117.1225,453,CHINA,12,35.86166,104.195397,28860,2
CHINA,Palo Alto,37.3917,-122.1465,305,CHINA,13,35.86166,104.195397,28860,2
CHINA,Greenville,34.8364,-82.3649,280,CHINA,14,35.86166,104.195397,28860,2
CHINA,Cupertino,37.3167,-122.0465,274,CHINA,15,35.86166,104.195397,28860,2
CHINA,Austin,30.3038,-97.7545,253,CHINA,16,35.86166,104.195397,28860,2
CHINA,Boston,42.3189,-71.0838,230,CHINA,17,35.86166,104.195397,28860,2
CHINA,Anderson,34.521,-82.6477,218,CHINA,18,35.86166,104.195397,28860,2
CHINA,Los Angeles,34.114,-118.4068,215,CHINA,20,35.86166,104.195397,28860,2
