Country,City,Lat,Long,Count,Test,CityRank,COC_Lat,COC_Long,TotalCount,CountryRank
FRANCE,New York,40.6943,-73.9249,628,FRANCE,1,46.227638,2.213749,3173,10
FRANCE,San Francisco,37.7561,-122.4429,250,FRANCE,2,46.227638,2.213749,3173,10
FRANCE,Cupertino,37.3167,-122.0465,99,FRANCE,3,46.227638,2.213749,3173,10
FRANCE,Mountain View,37.4001,-122.0796,99,FRANCE,4,46.227638,2.213749,3173,10
FRANCE,Houston,29.7871,-95.3936,76,FRANCE,5,46.227638,2.213749,3173,10
FRANCE,Redmond,47.6776,-122.1176,64,FRANCE,6,46.227638,2.213749,3173,10
FRANCE,Palo Alto,37.3917,-122.1465,62,FRANCE,8,46.227638,2.213749,3173,10
FRANCE,Santa Clara,37.3646,-121.9679,48,FRANCE,9,46.227638,2.213749,3173,10
FRANCE,Chicago,41.8373,-87.6861,46,FRANCE,10,46.227638,2.213749,3173,10
FRANCE,Los Angeles,34.114,-118.4068,44,FRANCE,11,46.227638,2.213749,3173,10
FRANCE,Sunnyvale,37.3846,-122.0261,43,FRANCE,12,46.227638,2.213749,3173,10
FRANCE,Seattle,47.6217,-122.3238,40,FRANCE,13,46.227638,2.213749,3173,10
FRANCE,Menlo Park,37.4689,-122.1662,38,FRANCE,14,46.227638,2.213749,3173,10
FRANCE,San Diego,32.8312,-117.1225,37,FRANCE,15,46.227638,2.213749,3173,10
FRANCE,San Jose,37.302,-121.8488,37,FRANCE,16,46.227638,2.213749,3173,10
FRANCE,Boston,42.3189,-71.0838,36,FRANCE,17,46.227638,2.213749,3173,10
FRANCE,Waltham,42.3889,-71.2423,29,FRANCE,20,46.227638,2.213749,3173,10
FRANCE,Irvine,33.6772,-117.7738,29,FRANCE,19,46.227638,2.213749,3173,10
FRANCE,Miami,25.784,-80.2102,63,FRANCE,7,46.227638,2.213749,3173,10
FRANCE,Washington D.C.,38.9047,-77.0163,31,FRANCE,18,46.227638,2.213749,3173,10
