Country,City,Lat,Long,Count,Test,CityRank,COC_Lat,COC_Long,TotalCount,CountryRank
ITALY,New York,40.6943,-73.9249,257,ITALY,1,41.87194,12.56738,1947,20
ITALY,San Francisco,37.7561,-122.4429,88,ITALY,2,41.87194,12.56738,1947,20
ITALY,Houston,29.7871,-95.3936,47,ITALY,4,41.87194,12.56738,1947,20
ITALY,Chicago,41.8373,-87.6861,37,ITALY,5,41.87194,12.56738,1947,20
ITALY,Mountain View,37.4001,-122.0796,31,ITALY,6,41.87194,12.56738,1947,20
ITALY,Redmond,47.6776,-122.1176,31,ITALY,7,41.87194,12.56738,1947,20
ITALY,Los Angeles,34.114,-118.4068,27,ITALY,9,41.87194,12.56738,1947,20
ITALY,Cambridge,42.3758,-71.1184,25,ITALY,10,41.87194,12.56738,1947,20
ITALY,Cupertino,37.3167,-122.0465,22,ITALY,11,41.87194,12.56738,1947,20
ITALY,Menlo Park,37.4689,-122.1662,22,ITALY,12,41.87194,12.56738,1947,20
ITALY,San Diego,32.8312,-117.1225,22,ITALY,14,41.87194,12.56738,1947,20
ITALY,Boise,43.6135,-116.2035,20,ITALY,15,41.87194,12.56738,1947,20
ITALY,Boston,42.3189,-71.0838,18,ITALY,16,41.87194,12.56738,1947,20
ITALY,San Jose,37.302,-121.8488,18,ITALY,17,41.87194,12.56738,1947,20
ITALY,Seattle,47.6217,-122.3238,17,ITALY,18,41.87194,12.56738,1947,20
ITALY,Palo Alto,37.3917,-122.1465,16,ITALY,19,41.87194,12.56738,1947,20
ITALY,Sunnyvale,37.3846,-122.0261,15,ITALY,20,41.87194,12.56738,1947,20
ITALY,Miami,25.784,-80.2102,87,ITALY,3,41.87194,12.56738,1947,20
ITALY,Miami Beach,25.8171,-80.1396,22,ITALY,13,41.87194,12.56738,1947,20
ITALY,Washington D.C.,38.9047,-77.0163,29,ITALY,8,41.87194,12.56738,1947,20
