Country,City,Lat,Long,Count,Test,CityRank,COC_Lat,COC_Long,TotalCount,CountryRank
JAPAN,Irvine,33.6772,-117.7738,53,JAPAN,8,36.204824,138.252924,2970,12
JAPAN,New York,40.6943,-73.9249,401,JAPAN,1,36.204824,138.252924,2970,12
JAPAN,Torrance,33.8346,-118.3417,205,JAPAN,2,36.204824,138.252924,2970,12
JAPAN,Los Angeles,34.114,-118.4068,179,JAPAN,3,36.204824,138.252924,2970,12
JAPAN,San Francisco,37.7561,-122.4429,74,JAPAN,4,36.204824,138.252924,2970,12
JAPAN,Honolulu,21.306944,-157.858333,62,JAPAN,5,36.204824,138.252924,2970,12
JAPAN,San Diego,32.8312,-117.1225,61,JAPAN,6,36.204824,138.252924,2970,12
JAPAN,San Jose,37.302,-121.8488,55,JAPAN,7,36.204824,138.252924,2970,12
JAPAN,Gardena,33.8944,-118.3073,37,JAPAN,9,36.204824,138.252924,2970,12
JAPAN,Mountain View,37.4001,-122.0796,36,JAPAN,10,36.204824,138.252924,2970,12
JAPAN,Seattle,47.6217,-122.3238,35,JAPAN,11,36.204824,138.252924,2970,12
JAPAN,Santa Clara,37.3646,-121.9679,34,JAPAN,12,36.204824,138.252924,2970,12
JAPAN,Redmond,47.6776,-122.1176,32,JAPAN,13,36.204824,138.252924,2970,12
JAPAN,Costa Mesa,33.6667,-117.9135,27,JAPAN,14,36.204824,138.252924,2970,12
JAPAN,Sunnyvale,37.3846,-122.0261,27,JAPAN,15,36.204824,138.252924,2970,12
JAPAN,Cupertino,37.3167,-122.0465,24,JAPAN,16,36.204824,138.252924,2970,12
JAPAN,Carson,33.8374,-118.2559,20,JAPAN,17,36.204824,138.252924,2970,12
JAPAN,Dallas,32.7938,-96.7659,19,JAPAN,18,36.204824,138.252924,2970,12
JAPAN,Las Vegas,36.2288,-115.2603,19,JAPAN,19,36.204824,138.252924,2970,12
JAPAN,Brooklyn,40.6501,-73.9496,18,JAPAN,20,36.204824,138.252924,2970,12
