Country,City,Lat,Long,Count,Test,CityRank,COC_Lat,COC_Long,TotalCount,CountryRank
NEPAL,Fremont,37.5256,-121.987,26,NEPAL,13,28.394857,84.124008,3047,11
NEPAL,Irving,32.8584,-96.9702,170,NEPAL,1,28.394857,84.124008,3047,11
NEPAL,New York,40.6943,-73.9249,96,NEPAL,2,28.394857,84.124008,3047,11
NEPAL,Edison,40.518715,-74.412095,94,NEPAL,3,28.394857,84.124008,3047,11
NEPAL,Dunn Loring,38.8945,-77.2315,54,NEPAL,4,28.394857,84.124008,3047,11
NEPAL,Houston,29.7871,-95.3936,50,NEPAL,5,28.394857,84.124008,3047,11
NEPAL,Omaha,41.2634,-96.0453,41,NEPAL,6,28.394857,84.124008,3047,11
NEPAL,Dallas,32.7938,-96.7659,40,NEPAL,7,28.394857,84.124008,3047,11
NEPAL,Jersey City,40.7161,-74.0683,40,NEPAL,8,28.394857,84.124008,3047,11
NEPAL,Minneapolis,44.9635,-93.2679,31,NEPAL,9,28.394857,84.124008,3047,11
NEPAL,Falls Church,38.8846,-77.1751,28,NEPAL,10,28.394857,84.124008,3047,11
NEPAL,Baltimore,39.3051,-76.6144,27,NEPAL,11,28.394857,84.124008,3047,11
NEPAL,Chicago,41.8373,-87.6861,26,NEPAL,12,28.394857,84.124008,3047,11
NEPAL,Austin,30.3038,-97.7545,25,NEPAL,14,28.394857,84.124008,3047,11
NEPAL,Boston,42.3189,-71.0838,24,NEPAL,15,28.394857,84.124008,3047,11
NEPAL,Fairfax,38.8531,-77.2998,24,NEPAL,16,28.394857,84.124008,3047,11
NEPAL,Herndon,38.9699,-77.3867,24,NEPAL,17,28.394857,84.124008,3047,11
NEPAL,Louisville,38.1662,-85.6488,24,NEPAL,18,28.394857,84.124008,3047,11
NEPAL,Tampa,27.9937,-82.4454,24,NEPAL,19,28.394857,84.124008,3047,11
NEPAL,Iselin,40.5701,-74.3171,22,NEPAL,20,28.394857,84.124008,3047,11
