Country,City,Lat,Long,Count,Test,CityRank,COC_Lat,COC_Long,TotalCount,CountryRank
SOUTH KOREA,Claxton,32.1613,-81.9093,350,SOUTH KOREA,7,35.907757,127.766922,24761,3
SOUTH KOREA,Irvine,33.6772,-117.7738,304,SOUTH KOREA,10,35.907757,127.766922,24761,3
SOUTH KOREA,Los Angeles,34.114,-118.4068,2032,SOUTH KOREA,1,35.907757,127.766922,24761,3
SOUTH KOREA,New York,40.6943,-73.9249,952,SOUTH KOREA,2,35.907757,127.766922,24761,3
SOUTH KOREA,Montgomery,32.347,-86.2663,645,SOUTH KOREA,3,35.907757,127.766922,24761,3
SOUTH KOREA,Rose Hill,34.8263,-78.0259,505,SOUTH KOREA,4,35.907757,127.766922,24761,3
SOUTH KOREA,Fairfield,39.3301,-84.5405,477,SOUTH KOREA,5,35.907757,127.766922,24761,3
SOUTH KOREA,Abbotsford,44.9437,-90.3154,441,SOUTH KOREA,6,35.907757,127.766922,24761,3
SOUTH KOREA,Morganton,35.7407,-81.7002,343,SOUTH KOREA,8,35.907757,127.766922,24761,3
SOUTH KOREA,Edinburg,38.8236,-78.5633,310,SOUTH KOREA,9,35.907757,127.766922,24761,3
SOUTH KOREA,West Columbia,33.9948,-81.0878,303,SOUTH KOREA,11,35.907757,127.766922,24761,3
SOUTH KOREA,Flushing,40.767499,-73.833079,282,SOUTH KOREA,12,35.907757,127.766922,24761,3
SOUTH KOREA,Springdale,36.1897,-94.1574,278,SOUTH KOREA,13,35.907757,127.766922,24761,3
SOUTH KOREA,San Diego,32.8312,-117.1225,276,SOUTH KOREA,14,35.907757,127.766922,24761,3
SOUTH KOREA,Dallas,32.7938,-96.7659,270,SOUTH KOREA,15,35.907757,127.766922,24761,3
SOUTH KOREA,Chicago,41.8373,-87.6861,256,SOUTH KOREA,16,35.907757,127.766922,24761,3
SOUTH KOREA,Greenville,34.8364,-82.3649,250,SOUTH KOREA,17,35.907757,127.766922,24761,3
SOUTH KOREA,Bethlehem,33.9371,-83.7097,240,SOUTH KOREA,18,35.907757,127.766922,24761,3
SOUTH KOREA,Houston,29.7871,-95.3936,221,SOUTH KOREA,19,35.907757,127.766922,24761,3
SOUTH KOREA,Duluth,34.0054,-84.1493,218,SOUTH KOREA,20,35.907757,127.766922,24761,3
