Country,City,Lat,Long,Count,Test,CityRank,COC_Lat,COC_Long,TotalCount,CountryRank
UNITED KINGDOM,Irvine,33.6772,-117.7738,44,UNITED KINGDOM,13,55.378051,-3.435973,4970,7
UNITED KINGDOM,New York,40.6943,-73.9249,732,UNITED KINGDOM,1,55.378051,-3.435973,4970,7
UNITED KINGDOM,Houston,29.7871,-95.3936,213,UNITED KINGDOM,2,55.378051,-3.435973,4970,7
UNITED KINGDOM,San Francisco,37.7561,-122.4429,196,UNITED KINGDOM,3,55.378051,-3.435973,4970,7
UNITED KINGDOM,Redmond,47.6776,-122.1176,123,UNITED KINGDOM,4,55.378051,-3.435973,4970,7
UNITED KINGDOM,Chicago,41.8373,-87.6861,106,UNITED KINGDOM,5,55.378051,-3.435973,4970,7
UNITED KINGDOM,Cupertino,37.3167,-122.0465,100,UNITED KINGDOM,6,55.378051,-3.435973,4970,7
UNITED KINGDOM,Mountain View,37.4001,-122.0796,85,UNITED KINGDOM,7,55.378051,-3.435973,4970,7
UNITED KINGDOM,Los Angeles,34.114,-118.4068,66,UNITED KINGDOM,8,55.378051,-3.435973,4970,7
UNITED KINGDOM,San Jose,37.302,-121.8488,61,UNITED KINGDOM,9,55.378051,-3.435973,4970,7
UNITED KINGDOM,Santa Clara,37.3646,-121.9679,51,UNITED KINGDOM,10,55.378051,-3.435973,4970,7
UNITED KINGDOM,Austin,30.3038,-97.7545,49,UNITED KINGDOM,11,55.378051,-3.435973,4970,7
UNITED KINGDOM,Boston,42.3189,-71.0838,48,UNITED KINGDOM,12,55.378051,-3.435973,4970,7
UNITED KINGDOM,San Diego,32.8312,-117.1225,43,UNITED KINGDOM,15,55.378051,-3.435973,4970,7
UNITED KINGDOM,Seattle,47.6217,-122.3238,42,UNITED KINGDOM,16,55.378051,-3.435973,4970,7
UNITED KINGDOM,Sunnyvale,37.3846,-122.0261,39,UNITED KINGDOM,17,55.378051,-3.435973,4970,7
UNITED KINGDOM,Santa Monica,34.0232,-118.4813,44,UNITED KINGDOM,14,55.378051,-3.435973,4970,7
UNITED KINGDOM,Palo Alto,37.3917,-122.1465,35,UNITED KINGDOM,19,55.378051,-3.435973,4970,7
UNITED KINGDOM,Menlo Park,37.4689,-122.1662,34,UNITED KINGDOM,20,55.378051,-3.435973,4970,7
UNITED KINGDOM,Washington D.C.,38.9047,-77.0163,38,UNITED KINGDOM,18,55.378051,-3.435973,4970,7
