Country,City,Lat,Long,Count,Test,CityRank,COC_Lat,COC_Long,TotalCount,CountryRank
VENEZUELA,Hialaleah,25.8696,-80.3045,36,VENEZUELA,9,6.42375,-66.58973,2738,14
VENEZUELA,Miami,25.784,-80.2102,570,VENEZUELA,1,6.42375,-66.58973,2738,14
VENEZUELA,Miami Beach,25.8171,-80.1396,18,VENEZUELA,19,6.42375,-66.58973,2738,14
VENEZUELA,Pembroke Pines,26.0127,-80.3384,22,VENEZUELA,16,6.42375,-66.58973,2738,14
VENEZUELA,Houston,29.7871,-95.3936,305,VENEZUELA,2,6.42375,-66.58973,2738,14
VENEZUELA,Doral,25.815,-80.3565,146,VENEZUELA,3,6.42375,-66.58973,2738,14
VENEZUELA,Coral Gables,25.7037,-80.2715,74,VENEZUELA,4,6.42375,-66.58973,2738,14
VENEZUELA,New York,40.6943,-73.9249,68,VENEZUELA,5,6.42375,-66.58973,2738,14
VENEZUELA,Weston,26.1003,-80.4052,60,VENEZUELA,6,6.42375,-66.58973,2738,14
VENEZUELA,Fort Lauderdale,26.1412,-80.1464,41,VENEZUELA,7,6.42375,-66.58973,2738,14
VENEZUELA,Dallas,32.7938,-96.7659,38,VENEZUELA,8,6.42375,-66.58973,2738,14
VENEZUELA,Medley,25.8642,-80.3511,32,VENEZUELA,10,6.42375,-66.58973,2738,14
VENEZUELA,Davie,26.0789,-80.287,30,VENEZUELA,11,6.42375,-66.58973,2738,14
VENEZUELA,Miramar,25.9773,-80.3357,27,VENEZUELA,12,6.42375,-66.58973,2738,14
VENEZUELA,Boca Raton,26.3749,-80.1078,25,VENEZUELA,13,6.42375,-66.58973,2738,14
VENEZUELA,Orlando,28.4801,-81.3448,25,VENEZUELA,14,6.42375,-66.58973,2738,14
VENEZUELA,Bakersfield,35.3528,-119.0354,23,VENEZUELA,15,6.42375,-66.58973,2738,14
VENEZUELA,Aventura,25.9566,-80.1371,21,VENEZUELA,17,6.42375,-66.58973,2738,14
VENEZUELA,San Francisco,37.7561,-122.4429,21,VENEZUELA,18,6.42375,-66.58973,2738,14
VENEZUELA,Sunrise,26.1547,-80.2998,18,VENEZUELA,20,6.42375,-66.58973,2738,14
