State,Count_of_State,Percentage,Total
California,87320,23.32501696,374362
Texas,46103,12.3150854,374362
New Jersey,30428,8.127961706,374362
New York,29352,7.840539371,374362
Washington,17171,4.586736902,374362
Illinois,15544,4.152130825,374362
Massachusetts,12829,3.426896961,374362
Virginia,12625,3.37240425,374362
Florida,12109,3.234569748,374362
Georgia,11917,3.183282491,374362
Michigan,11778,3.146152654,374362
Pennsylvania,9217,2.462055444,374362
North Carolina,8352,2.230995667,374362
Ohio,6788,1.813218222,374362
Maryland,5899,1.575747538,374362
Oregon,4353,1.162778273,374362
Arizona,4335,1.157970093,374362
Connecticut,3589,0.958697731,374362
Wisconsin,3402,0.90874608,374362
Minnesota,3061,0.817657775,374362
Colorado,3028,0.808842778,374362
Missouri,2969,0.793082631,374362
South Carolina,2849,0.761028096,374362
Indiana,2807,0.749809008,374362
Alabama,2277,0.60823481,374362
Tennessee,2085,0.556947553,374362
Delaware,1699,0.453838798,374362
Kentucky,1625,0.434071834,374362
Iowa,1622,0.433270471,374362
Kansas,1484,0.396407755,374362
Utah,1357,0.362483372,374362
Louisiana,1295,0.345921862,374362
Arkansas,1292,0.345120498,374362
Nebraska,1236,0.330161715,374362
Washington DC,1098,0.293298999,374362
Oklahoma,993,0.265251281,374362
#N/A,928,0.247888407,374362
New Hampshire,887,0.236936441,374362
New Mexico,817,0.218237962,374362
Nevada,752,0.200875089,374362
Mississippi,711,0.189923123,374362
Rhode Island,609,0.162676767,374362
Idaho,524,0.139971471,374362
North Dakota,434,0.11593057,374362
Vermont,433,0.115663449,374362
Maine,395,0.105512846,374362
Guam,367,0.098033454,374362
West Virginia,357,0.095362243,374362
Hawaii,316,0.084410277,374362
South Dakota,261,0.069718615,374362
Puerto Rico,213,0.0568968,374362
Montana,159,0.042472259,374362
Alaska,122,0.032588778,374362
Wyoming,118,0.031520293,374362
Virgin Islands,71,0.0189656,374362
