Country,City,Lat,Long,Count,Test,CityRank,COC_Lat,COC_Long,TotalCount,CountryRank
GERMANY,Calvert,31.1543,-88.0106,20,GERMANY,19,51.165691,10.451526,2364,17
GERMANY,New York,40.6943,-73.9249,231,GERMANY,1,51.165691,10.451526,2364,17
GERMANY,San Francisco,37.7561,-122.4429,83,GERMANY,2,51.165691,10.451526,2364,17
GERMANY,Mountain View,37.4001,-122.0796,64,GERMANY,3,51.165691,10.451526,2364,17
GERMANY,Palo Alto,37.3917,-122.1465,47,GERMANY,4,51.165691,10.451526,2364,17
GERMANY,San Jose,37.302,-121.8488,42,GERMANY,5,51.165691,10.451526,2364,17
GERMANY,Redmond,47.6776,-122.1176,41,GERMANY,6,51.165691,10.451526,2364,17
GERMANY,Los Angeles,34.114,-118.4068,39,GERMANY,7,51.165691,10.451526,2364,17
GERMANY,Houston,29.7871,-95.3936,38,GERMANY,8,51.165691,10.451526,2364,17
GERMANY,Chicago,41.8373,-87.6861,37,GERMANY,9,51.165691,10.451526,2364,17
GERMANY,Seattle,47.6217,-122.3238,33,GERMANY,10,51.165691,10.451526,2364,17
GERMANY,Cupertino,37.3167,-122.0465,31,GERMANY,11,51.165691,10.451526,2364,17
GERMANY,Atlanta,33.7627,-84.4231,30,GERMANY,12,51.165691,10.451526,2364,17
GERMANY,San Diego,32.8312,-117.1225,30,GERMANY,13,51.165691,10.451526,2364,17
GERMANY,Menlo Park,37.4689,-122.1662,23,GERMANY,15,51.165691,10.451526,2364,17
GERMANY,Boston,42.3189,-71.0838,22,GERMANY,16,51.165691,10.451526,2364,17
GERMANY,Auburn Hills,42.6734,-83.2447,20,GERMANY,17,51.165691,10.451526,2364,17
GERMANY,Austin,30.3038,-97.7545,20,GERMANY,18,51.165691,10.451526,2364,17
GERMANY,Sunnyvale,37.3846,-122.0261,20,GERMANY,20,51.165691,10.451526,2364,17
GERMANY,Irvine,33.6772,-117.7738,24,GERMANY,14,51.165691,10.451526,2364,17
