Country,City,Lat,Long,Count,Test,CityRank,COC_Lat,COC_Long,TotalCount,CountryRank
INDIA,Fremont,37.5256,-121.987,2514,INDIA,14,20.593684,78.96288,205154,1
INDIA,College Station,30.5857,-96.296,10825,INDIA,1,20.593684,78.96288,205154,1
INDIA,New York,40.6943,-73.9249,6906,INDIA,2,20.593684,78.96288,205154,1
INDIA,San Jose,37.302,-121.8488,5975,INDIA,3,20.593684,78.96288,205154,1
INDIA,Sunnyvale,37.3846,-122.0261,3942,INDIA,5,20.593684,78.96288,205154,1
INDIA,Santa Clara,37.3646,-121.9679,3867,INDIA,6,20.593684,78.96288,205154,1
INDIA,Edison,40.518715,-74.412095,3857,INDIA,7,20.593684,78.96288,205154,1
INDIA,Redmond,47.6776,-122.1176,3674,INDIA,8,20.593684,78.96288,205154,1
INDIA,San Francisco,37.7561,-122.4429,3468,INDIA,9,20.593684,78.96288,205154,1
INDIA,Houston,29.7871,-95.3936,3441,INDIA,10,20.593684,78.96288,205154,1
INDIA,Irving,32.8584,-96.9702,2923,INDIA,11,20.593684,78.96288,205154,1
INDIA,Seattle,47.6217,-122.3238,2765,INDIA,12,20.593684,78.96288,205154,1
INDIA,Mountain View,37.4001,-122.0796,2721,INDIA,13,20.593684,78.96288,205154,1
INDIA,Chicago,41.8373,-87.6861,2391,INDIA,15,20.593684,78.96288,205154,1
INDIA,Atlanta,33.7627,-84.4231,2363,INDIA,16,20.593684,78.96288,205154,1
INDIA,San Diego,32.8312,-117.1225,2265,INDIA,17,20.593684,78.96288,205154,1
INDIA,Jersey City,40.7161,-74.0683,2201,INDIA,18,20.593684,78.96288,205154,1
INDIA,Austin,30.3038,-97.7545,2104,INDIA,19,20.593684,78.96288,205154,1
INDIA,Hillsboro,45.5289,-122.9373,1934,INDIA,20,20.593684,78.96288,205154,1
INDIA,Plano,33.0502,-96.7487,4792,INDIA,4,20.593684,78.96288,205154,1
