Country,City,Lat,Long,Count,Test,CityRank,COC_Lat,COC_Long,TotalCount,CountryRank
IRAN,Gastonia,35.2495,-81.1856,119,IRAN,1,32.427908,53.688046,2356,18
IRAN,New York,40.6943,-73.9249,103,IRAN,2,32.427908,53.688046,2356,18
IRAN,West Columbia,33.9948,-81.0878,84,IRAN,3,32.427908,53.688046,2356,18
IRAN,Houston,29.7871,-95.3936,75,IRAN,4,32.427908,53.688046,2356,18
IRAN,Redmond,47.6776,-122.1176,62,IRAN,5,32.427908,53.688046,2356,18
IRAN,Los Angeles,34.114,-118.4068,46,IRAN,6,32.427908,53.688046,2356,18
IRAN,Greenville,34.8364,-82.3649,45,IRAN,7,32.427908,53.688046,2356,18
IRAN,San Diego,32.8312,-117.1225,42,IRAN,8,32.427908,53.688046,2356,18
IRAN,Irvine,33.6772,-117.7738,34,IRAN,9,32.427908,53.688046,2356,18
IRAN,San Francisco,37.7561,-122.4429,33,IRAN,10,32.427908,53.688046,2356,18
IRAN,Dallas,32.7938,-96.7659,32,IRAN,11,32.427908,53.688046,2356,18
IRAN,Memphis,35.1047,-89.9773,29,IRAN,12,32.427908,53.688046,2356,18
IRAN,Mountain View,37.4001,-122.0796,29,IRAN,14,32.427908,53.688046,2356,18
IRAN,San Antonio,29.4722,-98.5247,29,IRAN,15,32.427908,53.688046,2356,18
IRAN,Chicago,41.8373,-87.6861,27,IRAN,16,32.427908,53.688046,2356,18
IRAN,Anderson,34.521,-82.6477,25,IRAN,17,32.427908,53.688046,2356,18
IRAN,San Jose,37.302,-121.8488,24,IRAN,18,32.427908,53.688046,2356,18
IRAN,Sunnyvale,37.3846,-122.0261,24,IRAN,19,32.427908,53.688046,2356,18
IRAN,Hendersonville,35.3239,-82.4579,21,IRAN,20,32.427908,53.688046,2356,18
IRAN,Miami,25.784,-80.2102,29,IRAN,13,32.427908,53.688046,2356,18
