Country,City,Lat,Long,Count,Test,CityRank,COC_Lat,COC_Long,TotalCount,CountryRank
PAKISTAN,Houston,29.7871,-95.3936,250,PAKISTAN,1,30.375321,69.345116,3962,9
PAKISTAN,New York,40.6943,-73.9249,142,PAKISTAN,2,30.375321,69.345116,3962,9
PAKISTAN,Redmond,47.6776,-122.1176,84,PAKISTAN,3,30.375321,69.345116,3962,9
PAKISTAN,Dallas,32.7938,-96.7659,51,PAKISTAN,4,30.375321,69.345116,3962,9
PAKISTAN,Irving,32.8584,-96.9702,43,PAKISTAN,6,30.375321,69.345116,3962,9
PAKISTAN,San Jose,37.302,-121.8488,42,PAKISTAN,7,30.375321,69.345116,3962,9
PAKISTAN,Chicago,41.8373,-87.6861,40,PAKISTAN,8,30.375321,69.345116,3962,9
PAKISTAN,Austin,30.3038,-97.7545,38,PAKISTAN,9,30.375321,69.345116,3962,9
PAKISTAN,Renton,47.4757,-122.1904,35,PAKISTAN,10,30.375321,69.345116,3962,9
PAKISTAN,Alpharetta,34.0704,-84.2739,32,PAKISTAN,12,30.375321,69.345116,3962,9
PAKISTAN,Atlanta,33.7627,-84.4231,32,PAKISTAN,13,30.375321,69.345116,3962,9
PAKISTAN,Herndon,38.9699,-77.3867,31,PAKISTAN,15,30.375321,69.345116,3962,9
PAKISTAN,Seattle,47.6217,-122.3238,30,PAKISTAN,16,30.375321,69.345116,3962,9
PAKISTAN,Parsippany,40.8579,-74.426,29,PAKISTAN,17,30.375321,69.345116,3962,9
PAKISTAN,Sunnyvale,37.3846,-122.0261,29,PAKISTAN,18,30.375321,69.345116,3962,9
PAKISTAN,Fairfield,41.140836,-73.261261,27,PAKISTAN,19,30.375321,69.345116,3962,9
PAKISTAN,Oklahoma City,35.4677,-97.5138,27,PAKISTAN,20,30.375321,69.345116,3962,9
PAKISTAN,Plano,33.0502,-96.7487,47,PAKISTAN,5,30.375321,69.345116,3962,9
PAKISTAN,Vienna,38.8996,-77.2597,32,PAKISTAN,14,30.375321,69.345116,3962,9
PAKISTAN,Washington D.C.,38.9047,-77.0163,33,PAKISTAN,11,30.375321,69.345116,3962,9
