Country,City,Lat,Long,Count,Test,CityRank,COC_Lat,COC_Long,TotalCount,CountryRank
RUSSIA,Redmond,47.6776,-122.1176,186,RUSSIA,2,61.52401,105.318756,2524,16
RUSSIA,New York,40.6943,-73.9249,206,RUSSIA,1,61.52401,105.318756,2524,16
RUSSIA,Mountain View,37.4001,-122.0796,155,RUSSIA,3,61.52401,105.318756,2524,16
RUSSIA,San Francisco,37.7561,-122.4429,105,RUSSIA,4,61.52401,105.318756,2524,16
RUSSIA,Seattle,47.6217,-122.3238,73,RUSSIA,5,61.52401,105.318756,2524,16
RUSSIA,Houston,29.7871,-95.3936,65,RUSSIA,6,61.52401,105.318756,2524,16
RUSSIA,Chicago,41.8373,-87.6861,58,RUSSIA,7,61.52401,105.318756,2524,16
RUSSIA,San Jose,37.302,-121.8488,54,RUSSIA,8,61.52401,105.318756,2524,16
RUSSIA,Menlo Park,37.4689,-122.1662,52,RUSSIA,9,61.52401,105.318756,2524,16
RUSSIA,Santa Clara,37.3646,-121.9679,46,RUSSIA,10,61.52401,105.318756,2524,16
RUSSIA,San Mateo,37.5522,-122.3122,32,RUSSIA,12,61.52401,105.318756,2524,16
RUSSIA,Sunnyvale,37.3846,-122.0261,31,RUSSIA,13,61.52401,105.318756,2524,16
RUSSIA,Palo Alto,37.3917,-122.1465,28,RUSSIA,14,61.52401,105.318756,2524,16
RUSSIA,Brooklyn,40.6501,-73.9496,25,RUSSIA,15,61.52401,105.318756,2524,16
RUSSIA,Boston,42.3189,-71.0838,22,RUSSIA,16,61.52401,105.318756,2524,16
RUSSIA,Cupertino,37.3167,-122.0465,21,RUSSIA,17,61.52401,105.318756,2524,16
RUSSIA,Hillsboro,45.5289,-122.9373,21,RUSSIA,18,61.52401,105.318756,2524,16
RUSSIA,Los Angeles,34.114,-118.4068,20,RUSSIA,19,61.52401,105.318756,2524,16
RUSSIA,Waltham,42.3889,-71.2423,20,RUSSIA,20,61.52401,105.318756,2524,16
RUSSIA,Washington D.C.,38.9047,-77.0163,46,RUSSIA,11,61.52401,105.318756,2524,16
