Country,City,Lat,Long,Count,Test,CityRank,COC_Lat,COC_Long,TotalCount,CountryRank
TURKEY,New York,40.6943,-73.9249,221,TURKEY,1,38.963745,35.243322,2551,15
TURKEY,Houston,29.7871,-95.3936,84,TURKEY,2,38.963745,35.243322,2551,15
TURKEY,Mountain View,37.4001,-122.0796,80,TURKEY,3,38.963745,35.243322,2551,15
TURKEY,Redmond,47.6776,-122.1176,78,TURKEY,4,38.963745,35.243322,2551,15
TURKEY,San Francisco,37.7561,-122.4429,71,TURKEY,5,38.963745,35.243322,2551,15
TURKEY,Hillsboro,45.5289,-122.9373,52,TURKEY,6,38.963745,35.243322,2551,15
TURKEY,Seattle,47.6217,-122.3238,46,TURKEY,7,38.963745,35.243322,2551,15
TURKEY,Chicago,41.8373,-87.6861,38,TURKEY,8,38.963745,35.243322,2551,15
TURKEY,Brooklyn,40.6501,-73.9496,31,TURKEY,9,38.963745,35.243322,2551,15
TURKEY,Los Angeles,34.114,-118.4068,30,TURKEY,10,38.963745,35.243322,2551,15
TURKEY,San Jose,37.302,-121.8488,29,TURKEY,11,38.963745,35.243322,2551,15
TURKEY,San Antonio,29.4722,-98.5247,28,TURKEY,12,38.963745,35.243322,2551,15
TURKEY,Boston,42.3189,-71.0838,27,TURKEY,13,38.963745,35.243322,2551,15
TURKEY,Santa Clara,37.3646,-121.9679,26,TURKEY,14,38.963745,35.243322,2551,15
TURKEY,Sunnyvale,37.3846,-122.0261,23,TURKEY,15,38.963745,35.243322,2551,15
TURKEY,Fairfax,38.8531,-77.2998,22,TURKEY,16,38.963745,35.243322,2551,15
TURKEY,Long Island City,40.744679,-73.948542,21,TURKEY,17,38.963745,35.243322,2551,15
TURKEY,Palo Alto,37.3917,-122.1465,21,TURKEY,18,38.963745,35.243322,2551,15
TURKEY,Little Rock,34.7255,-92.3584,19,TURKEY,19,38.963745,35.243322,2551,15
TURKEY,Washington D.C.,38.9047,-77.0163,19,TURKEY,20,38.963745,35.243322,2551,15
