Country,City,Lat,Long,Count,Test,CityRank,COC_Lat,COC_Long,TotalCount,CountryRank
VIETNAM,Claxton,32.1613,-81.9093,44,VIETNAM,11,14.058324,108.277199,2290,19
VIETNAM,Dobson,36.3922,-80.7252,169,VIETNAM,1,14.058324,108.277199,2290,19
VIETNAM,Laurel,31.6956,-89.1448,30,VIETNAM,16,14.058324,108.277199,2290,19
VIETNAM,Miami,25.784,-80.2102,57,VIETNAM,9,14.058324,108.277199,2290,19
VIETNAM,Pine Mountain Valley,32.7987,-84.8233,67,VIETNAM,7,14.058324,108.277199,2290,19
VIETNAM,Pendergrass,34.1647,-83.6828,110,VIETNAM,2,14.058324,108.277199,2290,19
VIETNAM,Bethlehem,33.9371,-83.7097,105,VIETNAM,3,14.058324,108.277199,2290,19
VIETNAM,Millsboro,38.5865,-75.3018,99,VIETNAM,4,14.058324,108.277199,2290,19
VIETNAM,Houston,29.7871,-95.3936,87,VIETNAM,5,14.058324,108.277199,2290,19
VIETNAM,Tecumseh,40.3718,-96.189,69,VIETNAM,6,14.058324,108.277199,2290,19
VIETNAM,Gastonia,35.2495,-81.1856,59,VIETNAM,8,14.058324,108.277199,2290,19
VIETNAM,Rose Hill,34.8263,-78.0259,57,VIETNAM,10,14.058324,108.277199,2290,19
VIETNAM,New York,40.6943,-73.9249,44,VIETNAM,12,14.058324,108.277199,2290,19
VIETNAM,Redmond,47.6776,-122.1176,41,VIETNAM,13,14.058324,108.277199,2290,19
VIETNAM,Mountain View,37.4001,-122.0796,39,VIETNAM,14,14.058324,108.277199,2290,19
VIETNAM,San Jose,37.302,-121.8488,33,VIETNAM,15,14.058324,108.277199,2290,19
VIETNAM,Anderson,34.521,-82.6477,29,VIETNAM,17,14.058324,108.277199,2290,19
VIETNAM,Dallas,32.7938,-96.7659,29,VIETNAM,18,14.058324,108.277199,2290,19
VIETNAM,Danville,35.0527,-93.3902,29,VIETNAM,19,14.058324,108.277199,2290,19
VIETNAM,St. Sioux City,(blank),(blank),28,VIETNAM,20,14.058324,108.277199,2290,19
